term_id,axis,value,label,definition,parents,inclusion_rule,exclusion_rule,example,counterexample,status,version
legacy_mechanism:inflammation,legacy_mechanism,inflammation,Inflammation signaling,Legacy topic tag: Inflammation signaling.,,Existing FACETS.csv pattern or legacy structured tag matches.,"A topic match alone does not assert a studied condition, measured outcome, species of study, or treatment role.",The source mentions inflammation signaling.,Treating a background mention as an experimentally tested relationship.,legacy_topic,1.0.0
legacy_mechanism:senescence,legacy_mechanism,senescence,Senescence,Legacy topic tag: Senescence.,,Existing FACETS.csv pattern or legacy structured tag matches.,"A topic match alone does not assert a studied condition, measured outcome, species of study, or treatment role.",The source mentions senescence.,Treating a background mention as an experimentally tested relationship.,legacy_topic,1.0.0
legacy_mechanism:ampk_metabolic,legacy_mechanism,ampk_metabolic,AMPK / metabolic,Legacy topic tag: AMPK / metabolic.,,Existing FACETS.csv pattern or legacy structured tag matches.,"A topic match alone does not assert a studied condition, measured outcome, species of study, or treatment role.",The source mentions ampk / metabolic.,Treating a background mention as an experimentally tested relationship.,legacy_topic,1.0.0
legacy_mechanism:receptor_signaling,legacy_mechanism,receptor_signaling,Receptor signaling,Legacy topic tag: Receptor signaling.,,Existing FACETS.csv pattern or legacy structured tag matches.,"A topic match alone does not assert a studied condition, measured outcome, species of study, or treatment role.",The source mentions receptor signaling.,Treating a background mention as an experimentally tested relationship.,legacy_topic,1.0.0
legacy_route:oral,legacy_route,oral,Oral,Legacy topic tag: Taken by mouth (a pill capsule or liquid that is swallowed).,,Existing FACETS.csv pattern or legacy structured tag matches.,"A topic match alone does not assert a studied condition, measured outcome, species of study, or treatment role.",The source mentions oral.,Treating a background mention as an experimentally tested relationship.,legacy_topic,1.0.0
legacy_route:subcutaneous,legacy_route,subcutaneous,Subcutaneous,Legacy topic tag: Injected into the fatty layer just under the skin (like most insulin pens).,,Existing FACETS.csv pattern or legacy structured tag matches.,"A topic match alone does not assert a studied condition, measured outcome, species of study, or treatment role.",The source mentions subcutaneous.,Treating a background mention as an experimentally tested relationship.,legacy_topic,1.0.0
legacy_route:intravenous,legacy_route,intravenous,Intravenous,Legacy topic tag: Delivered straight into a vein through a drip or line so it enters the bloodstream immediately.,,Existing FACETS.csv pattern or legacy structured tag matches.,"A topic match alone does not assert a studied condition, measured outcome, species of study, or treatment role.",The source mentions intravenous.,Treating a background mention as an experimentally tested relationship.,legacy_topic,1.0.0
legacy_route:intraperitoneal,legacy_route,intraperitoneal,Intraperitoneal,Legacy topic tag: Injected into the belly cavity around the organs — a lab method used mainly in animal studies.,,Existing FACETS.csv pattern or legacy structured tag matches.,"A topic match alone does not assert a studied condition, measured outcome, species of study, or treatment role.",The source mentions intraperitoneal.,Treating a background mention as an experimentally tested relationship.,legacy_topic,1.0.0
legacy_route:topical,legacy_route,topical,Topical,Legacy topic tag: Applied to the surface of the skin (a cream gel or patch).,,Existing FACETS.csv pattern or legacy structured tag matches.,"A topic match alone does not assert a studied condition, measured outcome, species of study, or treatment role.",The source mentions topical.,Treating a background mention as an experimentally tested relationship.,legacy_topic,1.0.0
legacy_route:inhaled,legacy_route,inhaled,Inhaled,Legacy topic tag: Breathed in as a spray or mist so it reaches the lungs.,,Existing FACETS.csv pattern or legacy structured tag matches.,"A topic match alone does not assert a studied condition, measured outcome, species of study, or treatment role.",The source mentions inhaled.,Treating a background mention as an experimentally tested relationship.,legacy_topic,1.0.0
legacy_drug_class:glp1_agonist,legacy_drug_class,glp1_agonist,GLP-1 agonist,Legacy topic tag: Mimics the gut hormone GLP-1 to curb appetite and improve blood sugar (e.g. semaglutide).,,Existing FACETS.csv pattern or legacy structured tag matches.,"A topic match alone does not assert a studied condition, measured outcome, species of study, or treatment role.",The source mentions glp-1 agonist.,Treating a background mention as an experimentally tested relationship.,legacy_topic,1.0.0
legacy_drug_class:gip_agonist,legacy_drug_class,gip_agonist,GIP agonist,Legacy topic tag: Acts on the GIP hormone pathway — often combined with GLP-1 for weight and glucose.,,Existing FACETS.csv pattern or legacy structured tag matches.,"A topic match alone does not assert a studied condition, measured outcome, species of study, or treatment role.",The source mentions gip agonist.,Treating a background mention as an experimentally tested relationship.,legacy_topic,1.0.0
legacy_drug_class:glucagon_agonist,legacy_drug_class,glucagon_agonist,Glucagon agonist,Legacy topic tag: Acts on the glucagon pathway to raise energy expenditure — part of some triple agonists.,,Existing FACETS.csv pattern or legacy structured tag matches.,"A topic match alone does not assert a studied condition, measured outcome, species of study, or treatment role.",The source mentions glucagon agonist.,Treating a background mention as an experimentally tested relationship.,legacy_topic,1.0.0
legacy_drug_class:amylin_analog,legacy_drug_class,amylin_analog,Amylin analog,Legacy topic tag: Mimics the hormone amylin to increase fullness and slow stomach emptying.,,Existing FACETS.csv pattern or legacy structured tag matches.,"A topic match alone does not assert a studied condition, measured outcome, species of study, or treatment role.",The source mentions amylin analog.,Treating a background mention as an experimentally tested relationship.,legacy_topic,1.0.0
legacy_drug_class:sglt2_inhibitor,legacy_drug_class,sglt2_inhibitor,SGLT2 inhibitor,Legacy topic tag: Makes the kidneys flush out excess sugar — used for diabetes and heart/kidney protection.,,Existing FACETS.csv pattern or legacy structured tag matches.,"A topic match alone does not assert a studied condition, measured outcome, species of study, or treatment role.",The source mentions sglt2 inhibitor.,Treating a background mention as an experimentally tested relationship.,legacy_topic,1.0.0
legacy_drug_class:mito_err_agonist,legacy_drug_class,mito_err_agonist,Mitochondrial / ERR agonist,Legacy topic tag: Targets cellular energy pathways (mitochondria / ERR receptors).,,Existing FACETS.csv pattern or legacy structured tag matches.,"A topic match alone does not assert a studied condition, measured outcome, species of study, or treatment role.",The source mentions mitochondrial / err agonist.,Treating a background mention as an experimentally tested relationship.,legacy_topic,1.0.0
legacy_drug_class:nad_precursor,legacy_drug_class,nad_precursor,NAD precursor,Legacy topic tag: A building block the body turns into NAD+ a molecule central to cell energy and aging research.,,Existing FACETS.csv pattern or legacy structured tag matches.,"A topic match alone does not assert a studied condition, measured outcome, species of study, or treatment role.",The source mentions nad precursor.,Treating a background mention as an experimentally tested relationship.,legacy_topic,1.0.0
legacy_drug_class:senolytic,legacy_drug_class,senolytic,Senolytic,Legacy topic tag: Aims to clear worn-out ('senescent') cells thought to drive aging.,,Existing FACETS.csv pattern or legacy structured tag matches.,"A topic match alone does not assert a studied condition, measured outcome, species of study, or treatment role.",The source mentions senolytic.,Treating a background mention as an experimentally tested relationship.,legacy_topic,1.0.0
legacy_drug_class:peptide_hormone,legacy_drug_class,peptide_hormone,Peptide hormone,Legacy topic tag: A small protein-like molecule that acts as a signaling hormone.,,Existing FACETS.csv pattern or legacy structured tag matches.,"A topic match alone does not assert a studied condition, measured outcome, species of study, or treatment role.",The source mentions peptide hormone.,Treating a background mention as an experimentally tested relationship.,legacy_topic,1.0.0
legacy_drug_class:mtor_inhibitor,legacy_drug_class,mtor_inhibitor,mTOR inhibitor,Legacy topic tag: Dials down the mTOR growth pathway — studied for aging and metabolism.,,Existing FACETS.csv pattern or legacy structured tag matches.,"A topic match alone does not assert a studied condition, measured outcome, species of study, or treatment role.",The source mentions mtor inhibitor.,Treating a background mention as an experimentally tested relationship.,legacy_topic,1.0.0
legacy_drug_class:myostatin_inhibitor,legacy_drug_class,myostatin_inhibitor,Myostatin inhibitor,Legacy topic tag: Blocks myostatin a brake on muscle growth — studied for muscle wasting.,,Existing FACETS.csv pattern or legacy structured tag matches.,"A topic match alone does not assert a studied condition, measured outcome, species of study, or treatment role.",The source mentions myostatin inhibitor.,Treating a background mention as an experimentally tested relationship.,legacy_topic,1.0.0
legacy_population:older_adults,legacy_population,older_adults,Older adults,Legacy topic tag: Focused on older or elderly participants.,,Existing FACETS.csv pattern or legacy structured tag matches.,"A topic match alone does not assert a studied condition, measured outcome, species of study, or treatment role.",The source mentions older adults.,Treating a background mention as an experimentally tested relationship.,legacy_topic,1.0.0
legacy_population:pediatric,legacy_population,pediatric,Pediatric,Legacy topic tag: Focused on infants children or adolescents.,,Existing FACETS.csv pattern or legacy structured tag matches.,"A topic match alone does not assert a studied condition, measured outcome, species of study, or treatment role.",The source mentions pediatric.,Treating a background mention as an experimentally tested relationship.,legacy_topic,1.0.0
legacy_population:women_pregnancy,legacy_population,women_pregnancy,Women / pregnancy,Legacy topic tag: Focused on women or pregnancy-related settings.,,Existing FACETS.csv pattern or legacy structured tag matches.,"A topic match alone does not assert a studied condition, measured outcome, species of study, or treatment role.",The source mentions women / pregnancy.,Treating a background mention as an experimentally tested relationship.,legacy_topic,1.0.0
legacy_population:male,legacy_population,male,Male participants,Legacy topic tag: Focused on male participants.,,Existing FACETS.csv pattern or legacy structured tag matches.,"A topic match alone does not assert a studied condition, measured outcome, species of study, or treatment role.",The source mentions male participants.,Treating a background mention as an experimentally tested relationship.,legacy_topic,1.0.0
legacy_population:comorbid_metabolic,legacy_population,comorbid_metabolic,Metabolic comorbidity,Legacy topic tag: Participants who also had conditions like obesity or type 2 diabetes.,,Existing FACETS.csv pattern or legacy structured tag matches.,"A topic match alone does not assert a studied condition, measured outcome, species of study, or treatment role.",The source mentions metabolic comorbidity.,Treating a background mention as an experimentally tested relationship.,legacy_topic,1.0.0
legacy_population:comorbid_cardiorenal,legacy_population,comorbid_cardiorenal,Cardiorenal comorbidity,Legacy topic tag: Participants who also had heart or kidney disease.,,Existing FACETS.csv pattern or legacy structured tag matches.,"A topic match alone does not assert a studied condition, measured outcome, species of study, or treatment role.",The source mentions cardiorenal comorbidity.,Treating a background mention as an experimentally tested relationship.,legacy_topic,1.0.0
legacy_sex:female,legacy_sex,female,Female,Legacy topic tag: The study included or focused on female subjects.,,Existing FACETS.csv pattern or legacy structured tag matches.,"A topic match alone does not assert a studied condition, measured outcome, species of study, or treatment role.",The source mentions female.,Treating a background mention as an experimentally tested relationship.,legacy_topic,1.0.0
legacy_sex:male,legacy_sex,male,Male,Legacy topic tag: The study included or focused on male subjects.,,Existing FACETS.csv pattern or legacy structured tag matches.,"A topic match alone does not assert a studied condition, measured outcome, species of study, or treatment role.",The source mentions male.,Treating a background mention as an experimentally tested relationship.,legacy_topic,1.0.0
legacy_sex:both_sexes,legacy_sex,both_sexes,Both sexes,Legacy topic tag: The study included both male and female subjects.,,Existing FACETS.csv pattern or legacy structured tag matches.,"A topic match alone does not assert a studied condition, measured outcome, species of study, or treatment role.",The source mentions both sexes.,Treating a background mention as an experimentally tested relationship.,legacy_topic,1.0.0
legacy_formulation:oral_peptide,legacy_formulation,oral_peptide,Oral peptide,Legacy topic tag: A peptide drug engineered to survive digestion so it can be taken as a pill.,,Existing FACETS.csv pattern or legacy structured tag matches.,"A topic match alone does not assert a studied condition, measured outcome, species of study, or treatment role.",The source mentions oral peptide.,Treating a background mention as an experimentally tested relationship.,legacy_topic,1.0.0
legacy_formulation:long_acting,legacy_formulation,long_acting,Long-acting / weekly,Legacy topic tag: Designed to last long enough for weekly (or less frequent) dosing.,,Existing FACETS.csv pattern or legacy structured tag matches.,"A topic match alone does not assert a studied condition, measured outcome, species of study, or treatment role.",The source mentions long-acting / weekly.,Treating a background mention as an experimentally tested relationship.,legacy_topic,1.0.0
legacy_formulation:nanoparticle,legacy_formulation,nanoparticle,Nanoparticle / delivery,Legacy topic tag: Uses tiny engineered particles to carry the drug to where it is needed.,,Existing FACETS.csv pattern or legacy structured tag matches.,"A topic match alone does not assert a studied condition, measured outcome, species of study, or treatment role.",The source mentions nanoparticle / delivery.,Treating a background mention as an experimentally tested relationship.,legacy_topic,1.0.0
legacy_evidence_direction:positive,legacy_evidence_direction,positive,Positive / beneficial,Legacy topic tag: The study reported a beneficial effect.,,Existing FACETS.csv pattern or legacy structured tag matches.,"A topic match alone does not assert a studied condition, measured outcome, species of study, or treatment role.",The source mentions positive / beneficial.,Treating a background mention as an experimentally tested relationship.,legacy_topic,1.0.0
legacy_evidence_direction:null,legacy_evidence_direction,null,Null / no effect,Legacy topic tag: The study found no meaningful effect.,,Existing FACETS.csv pattern or legacy structured tag matches.,"A topic match alone does not assert a studied condition, measured outcome, species of study, or treatment role.",The source mentions null / no effect.,Treating a background mention as an experimentally tested relationship.,legacy_topic,1.0.0
legacy_evidence_direction:mixed,legacy_evidence_direction,mixed,Mixed,Legacy topic tag: Results were mixed — beneficial on some measures not others.,,Existing FACETS.csv pattern or legacy structured tag matches.,"A topic match alone does not assert a studied condition, measured outcome, species of study, or treatment role.",The source mentions mixed.,Treating a background mention as an experimentally tested relationship.,legacy_topic,1.0.0
legacy_evidence_direction:adverse,legacy_evidence_direction,adverse,Adverse / harmful,Legacy topic tag: The study reported a harmful or negative effect.,,Existing FACETS.csv pattern or legacy structured tag matches.,"A topic match alone does not assert a studied condition, measured outcome, species of study, or treatment role.",The source mentions adverse / harmful.,Treating a background mention as an experimentally tested relationship.,legacy_topic,1.0.0
